Field,MSE,RMSE,MAE,MaxAbsError,RelRMSE_percent,Mean_Ensemble_Std,Max_Ensemble_Std
Ux,0.02405279502272606,0.15508963544584808,0.11925792694091797,0.9861288070678711,13.177725791931152,0.07884728908538818,0.22810131311416626
Uy,0.2090277522802353,0.45719552959345006,0.35084396600723267,1.8336718082427979,30.04419708251953,0.08699052780866623,0.44158264994621277
Uz,0.1687103807926178,0.410743692334548,0.31128033995628357,1.872840404510498,39.553550720214844,0.08947060257196426,0.44666048884391785
T,0.4802848994731903,0.6930259010117806,0.4133670926094055,5.9566850662231445,63.930877685546875,0.10552068799734116,0.7203649282455444
p,0.07417254149913788,0.27234636310980526,0.21527333557605743,1.3419601917266846,27.27943992614746,0.10196173936128616,0.4312817454338074
