Warp DeprecationWarning: The symbol `warp.context.Device` will soon be removed from the public API. Use `warp.Device` instead.
/home/iaziz6/Imo_Training/Training/physicsnemo_env/lib/python3.10/site-packages/physicsnemo/distributed/manager.py:415: UserWarning: Could not initialize using ENV, SLURM or OPENMPI methods. Assuming this is a single process job
  warn(
[2026-05-01 15:51:55,976][checkpoint][WARNING] - Provided checkpoint directory /home/iaziz6/Imo_Training/Training/checkpoints_ensemble_3x3/ensemble_0 does not exist, skipping load
[2026-05-01 15:51:55,976][main][INFO] - Starting ensemble 1/3 with train_num_samples=100, val_num_samples=6, max_epochs=3, log_every_steps=1, val_every_steps=100, save_every=1, checkpoint_dir=/home/iaziz6/Imo_Training/Training/checkpoints_ensemble_3x3/ensemble_0.
Ensemble 1/3 | Epoch 1/3 | Step 52/100 | Global 52 | Loss 0.158014 | LR 9.87e-04
Ensemble 1/3 | Epoch 1/3 | Step 53/100 | Global 53 | Loss 0.149641 | LR 9.87e-04
Ensemble 1/3 | Epoch 1/3 | Step 54/100 | Global 54 | Loss 0.294737 | LR 9.87e-04
Ensemble 1/3 | Epoch 1/3 | Step 55/100 | Global 55 | Loss 0.138804 | LR 9.86e-04
Ensemble 1/3 | Epoch 1/3 | Step 56/100 | Global 56 | Loss 0.179964 | LR 9.86e-04
Ensemble 1/3 | Epoch 1/3 | Step 57/100 | Global 57 | Loss 0.174962 | LR 9.86e-04
Ensemble 1/3 | Epoch 1/3 | Step 58/100 | Global 58 | Loss 0.131881 | LR 9.86e-04
Ensemble 1/3 | Epoch 1/3 | Step 59/100 | Global 59 | Loss 0.292149 | LR 9.85e-04
Ensemble 1/3 | Epoch 1/3 | Step 60/100 | Global 60 | Loss 0.140734 | LR 9.85e-04
Ensemble 1/3 | Epoch 1/3 | Step 61/100 | Global 61 | Loss 0.136825 | LR 9.85e-04
Ensemble 1/3 | Epoch 1/3 | Step 62/100 | Global 62 | Loss 0.186030 | LR 9.85e-04
Ensemble 1/3 | Epoch 1/3 | Step 63/100 | Global 63 | Loss 0.106797 | LR 9.84e-04
Ensemble 1/3 | Epoch 1/3 | Step 64/100 | Global 64 | Loss 0.109764 | LR 9.84e-04
Ensemble 1/3 | Epoch 1/3 | Step 65/100 | Global 65 | Loss 0.208008 | LR 9.84e-04
Ensemble 1/3 | Epoch 1/3 | Step 66/100 | Global 66 | Loss 0.185565 | LR 9.84e-04
Ensemble 1/3 | Epoch 1/3 | Step 67/100 | Global 67 | Loss 0.175972 | LR 9.83e-04
Ensemble 1/3 | Epoch 1/3 | Step 68/100 | Global 68 | Loss 0.283700 | LR 9.83e-04
Ensemble 1/3 | Epoch 1/3 | Step 69/100 | Global 69 | Loss 0.166535 | LR 9.83e-04
Ensemble 1/3 | Epoch 1/3 | Step 70/100 | Global 70 | Loss 0.211596 | LR 9.83e-04
Ensemble 1/3 | Epoch 1/3 | Step 71/100 | Global 71 | Loss 0.166196 | LR 9.82e-04
Ensemble 1/3 | Epoch 1/3 | Step 72/100 | Global 72 | Loss 0.153565 | LR 9.82e-04
Ensemble 1/3 | Epoch 1/3 | Step 73/100 | Global 73 | Loss 0.371741 | LR 9.82e-04
Ensemble 1/3 | Epoch 1/3 | Step 74/100 | Global 74 | Loss 0.219480 | LR 9.82e-04
Ensemble 1/3 | Epoch 1/3 | Step 75/100 | Global 75 | Loss 0.312993 | LR 9.81e-04
Ensemble 1/3 | Epoch 1/3 | Step 76/100 | Global 76 | Loss 0.125089 | LR 9.81e-04
Ensemble 1/3 | Epoch 1/3 | Step 77/100 | Global 77 | Loss 0.186132 | LR 9.81e-04
Ensemble 1/3 | Epoch 1/3 | Step 78/100 | Global 78 | Loss 0.157676 | LR 9.81e-04
Ensemble 1/3 | Epoch 1/3 | Step 79/100 | Global 79 | Loss 0.187194 | LR 9.80e-04
Ensemble 1/3 | Epoch 1/3 | Step 80/100 | Global 80 | Loss 0.153082 | LR 9.80e-04
Ensemble 1/3 | Epoch 1/3 | Step 81/100 | Global 81 | Loss 0.459646 | LR 9.80e-04
Ensemble 1/3 | Epoch 1/3 | Step 82/100 | Global 82 | Loss 0.164973 | LR 9.80e-04
Ensemble 1/3 | Epoch 1/3 | Step 83/100 | Global 83 | Loss 0.145661 | LR 9.79e-04
Ensemble 1/3 | Epoch 1/3 | Step 84/100 | Global 84 | Loss 0.113040 | LR 9.79e-04
Ensemble 1/3 | Epoch 1/3 | Step 85/100 | Global 85 | Loss 0.121075 | LR 9.79e-04
Ensemble 1/3 | Epoch 1/3 | Step 86/100 | Global 86 | Loss 0.189529 | LR 9.79e-04
Ensemble 1/3 | Epoch 1/3 | Step 87/100 | Global 87 | Loss 0.390161 | LR 9.78e-04
Ensemble 1/3 | Epoch 1/3 | Step 88/100 | Global 88 | Loss 0.220895 | LR 9.78e-04
Ensemble 1/3 | Epoch 1/3 | Step 89/100 | Global 89 | Loss 0.196762 | LR 9.78e-04
Ensemble 1/3 | Epoch 1/3 | Step 90/100 | Global 90 | Loss 0.289030 | LR 9.78e-04
Ensemble 1/3 | Epoch 1/3 | Step 91/100 | Global 91 | Loss 0.158760 | LR 9.78e-04
Ensemble 1/3 | Epoch 1/3 | Step 92/100 | Global 92 | Loss 0.144354 | LR 9.77e-04
Ensemble 1/3 | Epoch 1/3 | Step 93/100 | Global 93 | Loss 0.107583 | LR 9.77e-04
Ensemble 1/3 | Epoch 1/3 | Step 94/100 | Global 94 | Loss 0.121432 | LR 9.77e-04
Ensemble 1/3 | Epoch 1/3 | Step 95/100 | Global 95 | Loss 0.141130 | LR 9.77e-04
Ensemble 1/3 | Epoch 1/3 | Step 96/100 | Global 96 | Loss 0.115042 | LR 9.76e-04
Ensemble 1/3 | Epoch 1/3 | Step 97/100 | Global 97 | Loss 0.135242 | LR 9.76e-04
Ensemble 1/3 | Epoch 1/3 | Step 98/100 | Global 98 | Loss 0.126403 | LR 9.76e-04
Ensemble 1/3 | Epoch 1/3 | Step 99/100 | Global 99 | Loss 0.162260 | LR 9.76e-04
[2026-05-01 16:11:57,482][train][INFO] - [100.00%] Mini-Batch Losses: Mini-batch loss =  8.620e-02
Ensemble 1/3 | Epoch 1/3 | Step 100/100 | Global 100 | Loss 0.086204 | LR 9.75e-04
[2026-05-01 16:13:09,834][train][INFO] - Epoch 1 Metrics: Learning Rate =  9.753e-04, Mini-batch loss =  2.537e-01
[2026-05-01 16:13:09,834][train][INFO] - Epoch Execution Time:  1.274e+03s, Time/Iter:  1.274e+04ms
[2026-05-01 16:13:09,966][checkpoint][INFO] - Saved model state dictionary: /home/iaziz6/Imo_Training/Training/checkpoints_ensemble_3x3/ensemble_0/UNet.0.1.mdlus
[2026-05-01 16:13:10,060][checkpoint][INFO] - Saved training checkpoint: /home/iaziz6/Imo_Training/Training/checkpoints_ensemble_3x3/ensemble_0/checkpoint.0.1.pt
Ensemble 1/3 | Epoch 2/3 | Step 1/100 | Global 101 | Loss 0.095822 | LR 9.75e-04
Ensemble 1/3 | Epoch 2/3 | Step 2/100 | Global 102 | Loss 0.133309 | LR 9.75e-04
Ensemble 1/3 | Epoch 2/3 | Step 3/100 | Global 103 | Loss 0.104528 | LR 9.75e-04
Ensemble 1/3 | Epoch 2/3 | Step 4/100 | Global 104 | Loss 0.084986 | LR 9.74e-04
Ensemble 1/3 | Epoch 2/3 | Step 5/100 | Global 105 | Loss 0.103390 | LR 9.74e-04
Ensemble 1/3 | Epoch 2/3 | Step 6/100 | Global 106 | Loss 0.093558 | LR 9.74e-04
Ensemble 1/3 | Epoch 2/3 | Step 7/100 | Global 107 | Loss 0.081437 | LR 9.74e-04
Ensemble 1/3 | Epoch 2/3 | Step 8/100 | Global 108 | Loss 0.118082 | LR 9.73e-04
Ensemble 1/3 | Epoch 2/3 | Step 9/100 | Global 109 | Loss 0.207366 | LR 9.73e-04
Ensemble 1/3 | Epoch 2/3 | Step 10/100 | Global 110 | Loss 0.116432 | LR 9.73e-04
Ensemble 1/3 | Epoch 2/3 | Step 11/100 | Global 111 | Loss 0.106408 | LR 9.73e-04
Ensemble 1/3 | Epoch 2/3 | Step 12/100 | Global 112 | Loss 0.125552 | LR 9.72e-04
Ensemble 1/3 | Epoch 2/3 | Step 13/100 | Global 113 | Loss 0.145516 | LR 9.72e-04
Ensemble 1/3 | Epoch 2/3 | Step 14/100 | Global 114 | Loss 0.091015 | LR 9.72e-04
Ensemble 1/3 | Epoch 2/3 | Step 15/100 | Global 115 | Loss 0.194118 | LR 9.72e-04
Ensemble 1/3 | Epoch 2/3 | Step 16/100 | Global 116 | Loss 0.181969 | LR 9.71e-04
Ensemble 1/3 | Epoch 2/3 | Step 17/100 | Global 117 | Loss 0.151685 | LR 9.71e-04
Ensemble 1/3 | Epoch 2/3 | Step 18/100 | Global 118 | Loss 0.120004 | LR 9.71e-04
Ensemble 1/3 | Epoch 2/3 | Step 19/100 | Global 119 | Loss 0.103248 | LR 9.71e-04
