Warp DeprecationWarning: The symbol `warp.context.Device` will soon be removed from the public API. Use `warp.Device` instead.
/home/iaziz6/Imo_Training/Training/physicsnemo_env/lib/python3.10/site-packages/physicsnemo/distributed/manager.py:415: UserWarning: Could not initialize using ENV, SLURM or OPENMPI methods. Assuming this is a single process job
  warn(
[2026-04-30 06:49:04,119][main][INFO] - Using physics-informed training with train_num_samples=100, val_num_samples=6, max_epochs=100, log_every_steps=1, val_every_steps=7.
Epoch 1/100 | Step 43/100 | Global 43 | Total 0.546211 | Data 0.538968 | NS 5.659483 | T 1.584201 | LR 9.89e-04
Epoch 1/100 | Step 44/100 | Global 44 | Total 0.433725 | Data 0.426395 | NS 5.918938 | T 1.410415 | LR 9.89e-04
Epoch 1/100 | Step 45/100 | Global 45 | Total 0.490437 | Data 0.483220 | NS 5.966612 | T 1.250338 | LR 9.89e-04
Epoch 1/100 | Step 46/100 | Global 46 | Total 0.597550 | Data 0.590827 | NS 5.739480 | T 0.983179 | LR 9.89e-04
Epoch 1/100 | Step 47/100 | Global 47 | Total 0.445265 | Data 0.438724 | NS 5.707292 | T 0.833716 | LR 9.88e-04
Epoch 1/100 | Step 48/100 | Global 48 | Total 0.642159 | Data 0.634000 | NS 7.264217 | T 0.894044 | LR 9.88e-04
Epoch 1/100 | Step 49/100 | Global 49 | Total 0.495316 | Data 0.485010 | NS 9.294703 | T 1.010643 | LR 9.88e-04
[2026-04-30 07:08:17,419][train][INFO] - [200.00%] Mini-Batch Losses: Mini-batch T phy loss =  1.183e+00
Epoch 1/100 | Step 50/100 | Global 50 | Total 0.495160 | Data 0.483200 | NS 10.776546 | T 1.183052 | LR 9.88e-04
Epoch 1/100 | Step 51/100 | Global 51 | Total 1.164070 | Data 1.152074 | NS 10.629383 | T 1.367080 | LR 9.87e-04
Epoch 1/100 | Step 52/100 | Global 52 | Total 0.546564 | Data 0.534164 | NS 10.711657 | T 1.688168 | LR 9.87e-04
Epoch 1/100 | Step 53/100 | Global 53 | Total 0.619950 | Data 0.606786 | NS 10.392431 | T 2.771434 | LR 9.87e-04
Epoch 1/100 | Step 54/100 | Global 54 | Total 0.519722 | Data 0.505855 | NS 10.523510 | T 3.343061 | LR 9.87e-04
Epoch 1/100 | Step 55/100 | Global 55 | Total 0.605051 | Data 0.591163 | NS 10.505718 | T 3.382134 | LR 9.86e-04
Epoch 1/100 | Step 56/100 | Global 56 | Total 0.494434 | Data 0.481515 | NS 9.839531 | T 3.079434 | LR 9.86e-04
Epoch 1/100 | Step 57/100 | Global 57 | Total 0.609469 | Data 0.600049 | NS 7.338570 | T 2.080763 | LR 9.86e-04
Epoch 1/100 | Step 58/100 | Global 58 | Total 0.634589 | Data 0.626013 | NS 6.884146 | T 1.691295 | LR 9.86e-04
Epoch 1/100 | Step 59/100 | Global 59 | Total 0.507613 | Data 0.500313 | NS 5.942864 | T 1.357376 | LR 9.85e-04
Epoch 1/100 | Step 60/100 | Global 60 | Total 0.614401 | Data 0.606340 | NS 6.691541 | T 1.369758 | LR 9.85e-04
Epoch 1/100 | Step 61/100 | Global 61 | Total 0.405413 | Data 0.397454 | NS 6.612144 | T 1.347158 | LR 9.85e-04
Epoch 1/100 | Step 62/100 | Global 62 | Total 0.619867 | Data 0.610317 | NS 8.059249 | T 1.490917 | LR 9.85e-04
Epoch 1/100 | Step 63/100 | Global 63 | Total 0.400528 | Data 0.391301 | NS 7.525718 | T 1.701368 | LR 9.84e-04
Epoch 1/100 | Step 64/100 | Global 64 | Total 0.483004 | Data 0.472935 | NS 7.909078 | T 2.159648 | LR 9.84e-04
Epoch 1/100 | Step 65/100 | Global 65 | Total 0.521268 | Data 0.511951 | NS 6.925093 | T 2.391401 | LR 9.84e-04
Epoch 1/100 | Step 66/100 | Global 66 | Total 0.529780 | Data 0.520043 | NS 7.048907 | T 2.687999 | LR 9.84e-04
Epoch 1/100 | Step 67/100 | Global 67 | Total 0.372624 | Data 0.362610 | NS 7.156201 | T 2.857614 | LR 9.83e-04
Epoch 1/100 | Step 68/100 | Global 68 | Total 0.835897 | Data 0.823265 | NS 9.425186 | T 3.207357 | LR 9.83e-04
Epoch 1/100 | Step 69/100 | Global 69 | Total 0.399153 | Data 0.387769 | NS 8.164146 | T 3.220132 | LR 9.83e-04
Epoch 1/100 | Step 70/100 | Global 70 | Total 0.668147 | Data 0.655769 | NS 8.870687 | T 3.507415 | LR 9.83e-04
Epoch 1/100 | Step 71/100 | Global 71 | Total 0.637940 | Data 0.624252 | NS 9.129952 | T 4.557978 | LR 9.82e-04
Epoch 1/100 | Step 72/100 | Global 72 | Total 0.418326 | Data 0.405257 | NS 8.809237 | T 4.260460 | LR 9.82e-04
Epoch 1/100 | Step 73/100 | Global 73 | Total 1.171174 | Data 1.159267 | NS 8.061989 | T 3.844284 | LR 9.82e-04
Epoch 1/100 | Step 74/100 | Global 74 | Total 0.520040 | Data 0.507025 | NS 8.134667 | T 4.880977 | LR 9.82e-04
[2026-04-30 07:17:05,826][train][INFO] - [300.00%] Mini-Batch Losses: Mini-batch T phy loss =  5.310e+00
Epoch 1/100 | Step 75/100 | Global 75 | Total 0.448765 | Data 0.434777 | NS 8.677042 | T 5.310461 | LR 9.81e-04
Epoch 1/100 | Step 76/100 | Global 76 | Total 0.463209 | Data 0.447741 | NS 9.479632 | T 5.988406 | LR 9.81e-04
Epoch 1/100 | Step 77/100 | Global 77 | Total 0.503854 | Data 0.485682 | NS 9.831326 | T 8.340511 | LR 9.81e-04
Epoch 1/100 | Step 78/100 | Global 78 | Total 0.473142 | Data 0.458639 | NS 8.463417 | T 6.039701 | LR 9.81e-04
Epoch 1/100 | Step 79/100 | Global 79 | Total 0.375165 | Data 0.361264 | NS 8.434965 | T 5.465630 | LR 9.80e-04
Epoch 1/100 | Step 80/100 | Global 80 | Total 0.335924 | Data 0.323534 | NS 7.854363 | T 4.536127 | LR 9.80e-04
Epoch 1/100 | Step 81/100 | Global 81 | Total 0.883438 | Data 0.869299 | NS 9.424482 | T 4.714758 | LR 9.80e-04
Epoch 1/100 | Step 82/100 | Global 82 | Total 0.490927 | Data 0.476594 | NS 8.619665 | T 5.713985 | LR 9.80e-04
Epoch 1/100 | Step 83/100 | Global 83 | Total 0.329915 | Data 0.309490 | NS 9.433921 | T 10.991661 | LR 9.79e-04
Epoch 1/100 | Step 84/100 | Global 84 | Total 0.328194 | Data 0.305524 | NS 9.002522 | T 13.666812 | LR 9.79e-04
Epoch 1/100 | Step 85/100 | Global 85 | Total 0.445933 | Data 0.416379 | NS 10.766706 | T 18.787436 | LR 9.79e-04
