Warp DeprecationWarning: The symbol `warp.context.Device` will soon be removed from the public API. Use `warp.Device` instead.
/home/iaziz6/Imo_Training/Training/physicsnemo_env/lib/python3.10/site-packages/physicsnemo/distributed/manager.py:415: UserWarning: Could not initialize using ENV, SLURM or OPENMPI methods. Assuming this is a single process job
  warn(
[2026-05-01 14:01:00,577][checkpoint][WARNING] - Provided checkpoint directory /home/iaziz6/Imo_Training/Training/checkpoints_baseline_unet does not exist, skipping load
[2026-05-01 14:01:00,578][main][INFO] - Using baseline UNet training with train_num_samples=100, val_num_samples=6, max_epochs=16, log_every_steps=1, val_every_steps=100, save_every=2, checkpoint_dir=/home/iaziz6/Imo_Training/Training/checkpoints_baseline_unet.
Epoch 1/16 | Step 67/100 (global 67) | Loss 0.188997 | LR 9.83e-04
Epoch 1/16 | Step 68/100 (global 68) | Loss 0.333433 | LR 9.83e-04
Epoch 1/16 | Step 69/100 (global 69) | Loss 0.191025 | LR 9.83e-04
Epoch 1/16 | Step 70/100 (global 70) | Loss 0.232821 | LR 9.83e-04
Epoch 1/16 | Step 71/100 (global 71) | Loss 0.219923 | LR 9.82e-04
Epoch 1/16 | Step 72/100 (global 72) | Loss 0.153804 | LR 9.82e-04
Epoch 1/16 | Step 73/100 (global 73) | Loss 0.373645 | LR 9.82e-04
Epoch 1/16 | Step 74/100 (global 74) | Loss 0.256767 | LR 9.82e-04
Epoch 1/16 | Step 75/100 (global 75) | Loss 0.312191 | LR 9.81e-04
Epoch 1/16 | Step 76/100 (global 76) | Loss 0.136371 | LR 9.81e-04
Epoch 1/16 | Step 77/100 (global 77) | Loss 0.188176 | LR 9.81e-04
Epoch 1/16 | Step 78/100 (global 78) | Loss 0.184128 | LR 9.81e-04
Epoch 1/16 | Step 79/100 (global 79) | Loss 0.230214 | LR 9.80e-04
Epoch 1/16 | Step 80/100 (global 80) | Loss 0.173933 | LR 9.80e-04
Epoch 1/16 | Step 81/100 (global 81) | Loss 0.375899 | LR 9.80e-04
Epoch 1/16 | Step 82/100 (global 82) | Loss 0.169109 | LR 9.80e-04
Epoch 1/16 | Step 83/100 (global 83) | Loss 0.149485 | LR 9.79e-04
Epoch 1/16 | Step 84/100 (global 84) | Loss 0.130521 | LR 9.79e-04
Epoch 1/16 | Step 85/100 (global 85) | Loss 0.125939 | LR 9.79e-04
Epoch 1/16 | Step 86/100 (global 86) | Loss 0.218716 | LR 9.79e-04
Epoch 1/16 | Step 87/100 (global 87) | Loss 0.410285 | LR 9.78e-04
Epoch 1/16 | Step 88/100 (global 88) | Loss 0.184973 | LR 9.78e-04
Epoch 1/16 | Step 89/100 (global 89) | Loss 0.177685 | LR 9.78e-04
Epoch 1/16 | Step 90/100 (global 90) | Loss 0.246504 | LR 9.78e-04
Epoch 1/16 | Step 91/100 (global 91) | Loss 0.143895 | LR 9.78e-04
Epoch 1/16 | Step 92/100 (global 92) | Loss 0.156563 | LR 9.77e-04
Epoch 1/16 | Step 93/100 (global 93) | Loss 0.110101 | LR 9.77e-04
Epoch 1/16 | Step 94/100 (global 94) | Loss 0.112761 | LR 9.77e-04
Epoch 1/16 | Step 95/100 (global 95) | Loss 0.145630 | LR 9.77e-04
Epoch 1/16 | Step 96/100 (global 96) | Loss 0.131624 | LR 9.76e-04
Epoch 1/16 | Step 97/100 (global 97) | Loss 0.165631 | LR 9.76e-04
Epoch 1/16 | Step 98/100 (global 98) | Loss 0.104617 | LR 9.76e-04
Epoch 1/16 | Step 99/100 (global 99) | Loss 0.143384 | LR 9.76e-04
[2026-05-01 14:21:01,767][train][INFO] - [100.00%] Mini-Batch Losses: Mini-batch loss =  1.126e-01
Epoch 1/16 | Step 100/100 (global 100) | Loss 0.112554 | LR 9.75e-04
[2026-05-01 14:22:16,963][train][INFO] - Epoch 1 Metrics: Learning Rate =  9.753e-04, Mini-batch loss =  2.651e-01
[2026-05-01 14:22:16,967][train][INFO] - Epoch Execution Time:  1.276e+03s, Time/Iter:  1.276e+04ms
Epoch 2/16 | Step 1/100 (global 101) | Loss 0.090628 | LR 9.75e-04
Epoch 2/16 | Step 2/100 (global 102) | Loss 0.157740 | LR 9.75e-04
Epoch 2/16 | Step 3/100 (global 103) | Loss 0.093574 | LR 9.75e-04
Epoch 2/16 | Step 4/100 (global 104) | Loss 0.086472 | LR 9.74e-04
Epoch 2/16 | Step 5/100 (global 105) | Loss 0.111265 | LR 9.74e-04
Epoch 2/16 | Step 6/100 (global 106) | Loss 0.086557 | LR 9.74e-04
Epoch 2/16 | Step 7/100 (global 107) | Loss 0.093207 | LR 9.74e-04
Epoch 2/16 | Step 8/100 (global 108) | Loss 0.141089 | LR 9.73e-04
Epoch 2/16 | Step 9/100 (global 109) | Loss 0.228426 | LR 9.73e-04
Epoch 2/16 | Step 10/100 (global 110) | Loss 0.122511 | LR 9.73e-04
Epoch 2/16 | Step 11/100 (global 111) | Loss 0.124169 | LR 9.73e-04
Epoch 2/16 | Step 12/100 (global 112) | Loss 0.119833 | LR 9.72e-04
