Warp DeprecationWarning: The symbol `warp.context.Device` will soon be removed from the public API. Use `warp.Device` instead.
/home/iaziz6/Imo_Training/Training/physicsnemo_env/lib/python3.10/site-packages/physicsnemo/distributed/manager.py:415: UserWarning: Could not initialize using ENV, SLURM or OPENMPI methods. Assuming this is a single process job
  warn(
[2026-05-01 08:00:55,464][checkpoint][ERROR] - Could not find valid model file /home/iaziz6/Imo_Training/Training/checkpoints_physics_ns_only/UNet.0.0.mdlus, skipping load
[2026-05-01 08:00:55,465][checkpoint][WARNING] - Could not find valid checkpoint file, skipping load
[2026-05-01 08:00:55,465][main][INFO] - Using NS-only physics-informed training with train_num_samples=100, val_num_samples=6, max_epochs=16, log_every_steps=1, val_every_steps=100, save_every=2, checkpoint_dir=/home/iaziz6/Imo_Training/Training/checkpoints_physics_ns_only.
Epoch 1/16 | Step 45/100 | Global 45 | Total 0.349010 | Data 0.333559 | NS 15.451487 | LR 9.89e-04
Epoch 1/16 | Step 46/100 | Global 46 | Total 0.405466 | Data 0.392130 | NS 13.336481 | LR 9.89e-04
Epoch 1/16 | Step 47/100 | Global 47 | Total 0.336316 | Data 0.323873 | NS 12.442889 | LR 9.88e-04
Epoch 1/16 | Step 48/100 | Global 48 | Total 0.480403 | Data 0.467959 | NS 12.444113 | LR 9.88e-04
Epoch 1/16 | Step 49/100 | Global 49 | Total 0.377088 | Data 0.357167 | NS 19.920313 | LR 9.88e-04
Epoch 1/16 | Step 50/100 | Global 50 | Total 0.382440 | Data 0.361215 | NS 21.225494 | LR 9.88e-04
Epoch 1/16 | Step 51/100 | Global 51 | Total 0.941590 | Data 0.923151 | NS 18.438990 | LR 9.87e-04
Epoch 1/16 | Step 52/100 | Global 52 | Total 0.414360 | Data 0.392256 | NS 22.103415 | LR 9.87e-04
Epoch 1/16 | Step 53/100 | Global 53 | Total 0.420064 | Data 0.400311 | NS 19.753325 | LR 9.87e-04
Epoch 1/16 | Step 54/100 | Global 54 | Total 0.434587 | Data 0.412589 | NS 21.998096 | LR 9.87e-04
Epoch 1/16 | Step 55/100 | Global 55 | Total 0.412643 | Data 0.391621 | NS 21.022272 | LR 9.86e-04
Epoch 1/16 | Step 56/100 | Global 56 | Total 0.385721 | Data 0.367679 | NS 18.041607 | LR 9.86e-04
Epoch 1/16 | Step 57/100 | Global 57 | Total 0.446005 | Data 0.432083 | NS 13.921457 | LR 9.86e-04
Epoch 1/16 | Step 58/100 | Global 58 | Total 0.422750 | Data 0.410970 | NS 11.780360 | LR 9.86e-04
Epoch 1/16 | Step 59/100 | Global 59 | Total 0.439248 | Data 0.428855 | NS 10.393620 | LR 9.85e-04
Epoch 1/16 | Step 60/100 | Global 60 | Total 0.390598 | Data 0.378886 | NS 11.712598 | LR 9.85e-04
Epoch 1/16 | Step 61/100 | Global 61 | Total 0.301898 | Data 0.288944 | NS 12.953453 | LR 9.85e-04
Epoch 1/16 | Step 62/100 | Global 62 | Total 0.430180 | Data 0.414235 | NS 15.945368 | LR 9.85e-04
Epoch 1/16 | Step 63/100 | Global 63 | Total 0.280496 | Data 0.267643 | NS 12.852668 | LR 9.84e-04
Epoch 1/16 | Step 64/100 | Global 64 | Total 0.318296 | Data 0.307320 | NS 10.975546 | LR 9.84e-04
Epoch 1/16 | Step 65/100 | Global 65 | Total 0.386154 | Data 0.375330 | NS 10.824389 | LR 9.84e-04
Epoch 1/16 | Step 66/100 | Global 66 | Total 0.381140 | Data 0.368723 | NS 12.416497 | LR 9.84e-04
[2026-05-01 08:14:41,839][train][INFO] - [200.00%] Mini-Batch Losses: Mini-batch data loss =  2.601e-01
Epoch 1/16 | Step 67/100 | Global 67 | Total 0.272570 | Data 0.260083 | NS 12.487022 | LR 9.83e-04
Epoch 1/16 | Step 68/100 | Global 68 | Total 0.636413 | Data 0.621662 | NS 14.750607 | LR 9.83e-04
Epoch 1/16 | Step 69/100 | Global 69 | Total 0.283713 | Data 0.270756 | NS 12.956984 | LR 9.83e-04
Epoch 1/16 | Step 70/100 | Global 70 | Total 0.459300 | Data 0.446264 | NS 13.035088 | LR 9.83e-04
Epoch 1/16 | Step 71/100 | Global 71 | Total 0.440725 | Data 0.424906 | NS 15.818951 | LR 9.82e-04
Epoch 1/16 | Step 72/100 | Global 72 | Total 0.306856 | Data 0.291115 | NS 15.741760 | LR 9.82e-04
Epoch 1/16 | Step 73/100 | Global 73 | Total 0.808852 | Data 0.791521 | NS 17.330866 | LR 9.82e-04
Epoch 1/16 | Step 74/100 | Global 74 | Total 0.397058 | Data 0.375300 | NS 21.758657 | LR 9.82e-04
Epoch 1/16 | Step 75/100 | Global 75 | Total 0.421015 | Data 0.397344 | NS 23.670727 | LR 9.81e-04
Epoch 1/16 | Step 76/100 | Global 76 | Total 0.342737 | Data 0.319706 | NS 23.031620 | LR 9.81e-04
Epoch 1/16 | Step 77/100 | Global 77 | Total 0.402039 | Data 0.383275 | NS 18.763741 | LR 9.81e-04
Epoch 1/16 | Step 78/100 | Global 78 | Total 0.365817 | Data 0.353017 | NS 12.799972 | LR 9.81e-04
Epoch 1/16 | Step 79/100 | Global 79 | Total 0.347973 | Data 0.338059 | NS 9.914083 | LR 9.80e-04
Epoch 1/16 | Step 80/100 | Global 80 | Total 0.290281 | Data 0.283131 | NS 7.150258 | LR 9.80e-04
Epoch 1/16 | Step 81/100 | Global 81 | Total 0.599209 | Data 0.592036 | NS 7.172749 | LR 9.80e-04
Epoch 1/16 | Step 82/100 | Global 82 | Total 0.361340 | Data 0.354082 | NS 7.257775 | LR 9.80e-04
Epoch 1/16 | Step 83/100 | Global 83 | Total 0.257029 | Data 0.249178 | NS 7.851069 | LR 9.79e-04
Epoch 1/16 | Step 84/100 | Global 84 | Total 0.224537 | Data 0.215666 | NS 8.871399 | LR 9.79e-04
Epoch 1/16 | Step 85/100 | Global 85 | Total 0.344150 | Data 0.334018 | NS 10.132265 | LR 9.79e-04
Epoch 1/16 | Step 86/100 | Global 86 | Total 0.442395 | Data 0.430888 | NS 11.507449 | LR 9.79e-04
Epoch 1/16 | Step 87/100 | Global 87 | Total 0.881819 | Data 0.867484 | NS 14.334444 | LR 9.78e-04
Epoch 1/16 | Step 88/100 | Global 88 | Total 0.264146 | Data 0.247030 | NS 17.116142 | LR 9.78e-04
Epoch 1/16 | Step 89/100 | Global 89 | Total 0.364617 | Data 0.341945 | NS 22.672207 | LR 9.78e-04
Epoch 1/16 | Step 90/100 | Global 90 | Total 0.345576 | Data 0.315617 | NS 29.958981 | LR 9.78e-04
Epoch 1/16 | Step 91/100 | Global 91 | Total 0.322604 | Data 0.301574 | NS 21.030071 | LR 9.78e-04
Epoch 1/16 | Step 92/100 | Global 92 | Total 0.338214 | Data 0.318353 | NS 19.860300 | LR 9.77e-04
Epoch 1/16 | Step 93/100 | Global 93 | Total 0.242526 | Data 0.227017 | NS 15.508442 | LR 9.77e-04
Epoch 1/16 | Step 94/100 | Global 94 | Total 0.278733 | Data 0.264177 | NS 14.555980 | LR 9.77e-04
Epoch 1/16 | Step 95/100 | Global 95 | Total 0.308702 | Data 0.288233 | NS 20.468897 | LR 9.77e-04
Epoch 1/16 | Step 96/100 | Global 96 | Total 0.243309 | Data 0.231639 | NS 11.670038 | LR 9.76e-04
Epoch 1/16 | Step 97/100 | Global 97 | Total 0.282514 | Data 0.263778 | NS 18.735382 | LR 9.76e-04
Epoch 1/16 | Step 98/100 | Global 98 | Total 0.269640 | Data 0.259392 | NS 10.247773 | LR 9.76e-04
Epoch 1/16 | Step 99/100 | Global 99 | Total 0.279485 | Data 0.267888 | NS 11.597604 | LR 9.76e-04
[2026-05-01 08:21:03,179][train][INFO] - [300.00%] Mini-Batch Losses: Mini-batch NS phy loss =  2.132e+01
Epoch 1/16 | Step 100/100 | Global 100 | Total 0.274877 | Data 0.253558 | NS 21.319473 | LR 9.75e-04
[2026-05-01 08:22:14,815][train][INFO] - Epoch 1 Metrics: Learning Rate =  9.753e-04, Mini-batch total loss =  1.669e-01, Mini-batch data loss =  1.609e-01, Mini-batch NS phy loss =  5.989e+00
[2026-05-01 08:22:14,815][train][INFO] - Epoch Execution Time:  1.279e+03s, Time/Iter:  4.264e+03ms
Epoch 2/16 | Step 1/100 | Global 101 | Total 0.224432 | Data 0.213899 | NS 10.533363 | LR 9.75e-04
Epoch 2/16 | Step 2/100 | Global 102 | Total 0.380477 | Data 0.369224 | NS 11.253061 | LR 9.75e-04
Epoch 2/16 | Step 3/100 | Global 103 | Total 0.246669 | Data 0.234655 | NS 12.013746 | LR 9.75e-04
Epoch 2/16 | Step 4/100 | Global 104 | Total 0.209678 | Data 0.196730 | NS 12.948112 | LR 9.74e-04
Epoch 2/16 | Step 5/100 | Global 105 | Total 0.276564 | Data 0.260476 | NS 16.088362 | LR 9.74e-04
Epoch 2/16 | Step 6/100 | Global 106 | Total 0.208106 | Data 0.184033 | NS 24.072868 | LR 9.74e-04
Epoch 2/16 | Step 7/100 | Global 107 | Total 0.274982 | Data 0.252864 | NS 22.117432 | LR 9.74e-04
Epoch 2/16 | Step 8/100 | Global 108 | Total 0.344387 | Data 0.318814 | NS 25.573032 | LR 9.73e-04
Epoch 2/16 | Step 9/100 | Global 109 | Total 0.369756 | Data 0.343883 | NS 25.872910 | LR 9.73e-04
Epoch 2/16 | Step 10/100 | Global 110 | Total 0.272985 | Data 0.250051 | NS 22.933990 | LR 9.73e-04
Epoch 2/16 | Step 11/100 | Global 111 | Total 0.317448 | Data 0.288917 | NS 28.530876 | LR 9.73e-04
Epoch 2/16 | Step 12/100 | Global 112 | Total 0.308763 | Data 0.293227 | NS 15.536049 | LR 9.72e-04
Epoch 2/16 | Step 13/100 | Global 113 | Total 0.255749 | Data 0.240718 | NS 15.031256 | LR 9.72e-04
Epoch 2/16 | Step 14/100 | Global 114 | Total 0.221788 | Data 0.210370 | NS 11.417295 | LR 9.72e-04
Epoch 2/16 | Step 15/100 | Global 115 | Total 0.266676 | Data 0.256870 | NS 9.805799 | LR 9.72e-04
Epoch 2/16 | Step 16/100 | Global 116 | Total 0.260581 | Data 0.251444 | NS 9.137468 | LR 9.71e-04
Epoch 2/16 | Step 17/100 | Global 117 | Total 0.219386 | Data 0.210738 | NS 8.648269 | LR 9.71e-04
Epoch 2/16 | Step 18/100 | Global 118 | Total 0.210148 | Data 0.199211 | NS 10.937063 | LR 9.71e-04
Epoch 2/16 | Step 19/100 | Global 119 | Total 0.254260 | Data 0.239281 | NS 14.979226 | LR 9.71e-04
Epoch 2/16 | Step 20/100 | Global 120 | Total 0.596526 | Data 0.580762 | NS 15.763709 | LR 9.70e-04
Epoch 2/16 | Step 21/100 | Global 121 | Total 0.259801 | Data 0.249158 | NS 10.642519 | LR 9.70e-04
Epoch 2/16 | Step 22/100 | Global 122 | Total 0.268480 | Data 0.260060 | NS 8.420049 | LR 9.70e-04
Epoch 2/16 | Step 23/100 | Global 123 | Total 0.199033 | Data 0.191430 | NS 7.602270 | LR 9.70e-04
Epoch 2/16 | Step 24/100 | Global 124 | Total 0.238731 | Data 0.228307 | NS 10.424105 | LR 9.69e-04
Epoch 2/16 | Step 25/100 | Global 125 | Total 0.202567 | Data 0.193587 | NS 8.980245 | LR 9.69e-04
Epoch 2/16 | Step 26/100 | Global 126 | Total 0.213327 | Data 0.195912 | NS 17.415009 | LR 9.69e-04
Epoch 2/16 | Step 27/100 | Global 127 | Total 0.240252 | Data 0.227957 | NS 12.294656 | LR 9.69e-04
Epoch 2/16 | Step 28/100 | Global 128 | Total 0.185758 | Data 0.174114 | NS 11.643756 | LR 9.69e-04
Epoch 2/16 | Step 29/100 | Global 129 | Total 0.205984 | Data 0.191836 | NS 14.148323 | LR 9.68e-04
Epoch 2/16 | Step 30/100 | Global 130 | Total 0.182907 | Data 0.170118 | NS 12.788882 | LR 9.68e-04
Epoch 2/16 | Step 31/100 | Global 131 | Total 0.328442 | Data 0.313797 | NS 14.644740 | LR 9.68e-04
Epoch 2/16 | Step 32/100 | Global 132 | Total 0.249875 | Data 0.233978 | NS 15.897706 | LR 9.68e-04
