Epoch 15/16 | Step 12/100 | Global 1412 | Total 0.156838 | Data 0.152784 | NS 4.054614 | LR 7.03e-04
Epoch 15/16 | Step 13/100 | Global 1413 | Total 0.158467 | Data 0.154409 | NS 4.058029 | LR 7.02e-04
Epoch 15/16 | Step 14/100 | Global 1414 | Total 0.184031 | Data 0.180049 | NS 3.982341 | LR 7.02e-04
Epoch 15/16 | Step 15/100 | Global 1415 | Total 0.196898 | Data 0.192818 | NS 4.080435 | LR 7.02e-04
Epoch 15/16 | Step 16/100 | Global 1416 | Total 0.136281 | Data 0.132000 | NS 4.280981 | LR 7.02e-04
Epoch 15/16 | Step 17/100 | Global 1417 | Total 0.290696 | Data 0.286059 | NS 4.637128 | LR 7.02e-04
Epoch 15/16 | Step 18/100 | Global 1418 | Total 0.176173 | Data 0.172508 | NS 3.665376 | LR 7.01e-04
Epoch 15/16 | Step 19/100 | Global 1419 | Total 0.100582 | Data 0.097111 | NS 3.470866 | LR 7.01e-04
Epoch 15/16 | Step 20/100 | Global 1420 | Total 0.195246 | Data 0.191501 | NS 3.745670 | LR 7.01e-04
Epoch 15/16 | Step 21/100 | Global 1421 | Total 0.166451 | Data 0.162608 | NS 3.842709 | LR 7.01e-04
Epoch 15/16 | Step 22/100 | Global 1422 | Total 0.157323 | Data 0.153409 | NS 3.914319 | LR 7.01e-04
Epoch 15/16 | Step 23/100 | Global 1423 | Total 0.129756 | Data 0.125540 | NS 4.215398 | LR 7.01e-04
Epoch 15/16 | Step 24/100 | Global 1424 | Total 0.162733 | Data 0.158902 | NS 3.831659 | LR 7.00e-04
Epoch 15/16 | Step 25/100 | Global 1425 | Total 0.169870 | Data 0.166109 | NS 3.761022 | LR 7.00e-04
Epoch 15/16 | Step 26/100 | Global 1426 | Total 0.148252 | Data 0.144366 | NS 3.885497 | LR 7.00e-04
Epoch 15/16 | Step 27/100 | Global 1427 | Total 0.147520 | Data 0.143512 | NS 4.007843 | LR 7.00e-04
Epoch 15/16 | Step 28/100 | Global 1428 | Total 0.102826 | Data 0.099540 | NS 3.285910 | LR 7.00e-04
Epoch 15/16 | Step 29/100 | Global 1429 | Total 0.415538 | Data 0.412538 | NS 3.000918 | LR 7.00e-04
Epoch 15/16 | Step 30/100 | Global 1430 | Total 0.192250 | Data 0.189613 | NS 2.637110 | LR 6.99e-04
Epoch 15/16 | Step 31/100 | Global 1431 | Total 0.112014 | Data 0.107672 | NS 4.341949 | LR 6.99e-04
Epoch 15/16 | Step 32/100 | Global 1432 | Total 0.207879 | Data 0.204171 | NS 3.707514 | LR 6.99e-04
Epoch 15/16 | Step 33/100 | Global 1433 | Total 0.201905 | Data 0.197567 | NS 4.337897 | LR 6.99e-04
[2026-05-01 12:59:07,740][train][INFO] - [100.00%] Mini-Batch Losses: Mini-batch total loss =  1.436e-01
Epoch 15/16 | Step 34/100 | Global 1434 | Total 0.143604 | Data 0.140228 | NS 3.375708 | LR 6.99e-04
Epoch 15/16 | Step 35/100 | Global 1435 | Total 0.182536 | Data 0.179035 | NS 3.501029 | LR 6.99e-04
Epoch 15/16 | Step 36/100 | Global 1436 | Total 0.093439 | Data 0.089674 | NS 3.764766 | LR 6.98e-04
Epoch 15/16 | Step 37/100 | Global 1437 | Total 0.119838 | Data 0.115559 | NS 4.278507 | LR 6.98e-04
Epoch 15/16 | Step 38/100 | Global 1438 | Total 0.200154 | Data 0.196014 | NS 4.140123 | LR 6.98e-04
Epoch 15/16 | Step 39/100 | Global 1439 | Total 0.242390 | Data 0.238404 | NS 3.986242 | LR 6.98e-04
Epoch 15/16 | Step 40/100 | Global 1440 | Total 0.130092 | Data 0.126458 | NS 3.633373 | LR 6.98e-04
Epoch 15/16 | Step 41/100 | Global 1441 | Total 0.268072 | Data 0.264503 | NS 3.568744 | LR 6.97e-04
Epoch 15/16 | Step 42/100 | Global 1442 | Total 0.082425 | Data 0.079237 | NS 3.187826 | LR 6.97e-04
