Field,RMSE,MAE,MaxAbsError,RelRMSE_percent
Ux,0.1357865333557129,0.09081649780273438,1.022071123123169,11.53757095336914
Uy,0.425652414560318,0.33610525727272034,1.8275269269943237,27.971370697021484
Uz,0.4513724148273468,0.3417155146598816,1.9512948989868164,43.46599578857422
T,0.672914981842041,0.3711972236633301,6.193179130554199,62.07566833496094
p,0.5602235198020935,0.48457032442092896,1.628771424293518,56.1145133972168
